Method,AvgPr,Recall,lamda,alpha
simple LM,0.39973554766807606,558/2302,0.0,0.5
KL,0.39973554766807606,558/2302,0.0,0.5
Min KL,0.3977064505065856,540/2302,0.0,0.5
Min KL NEW,0.38848484401492817,548/2302,0.0,0.5
simple LM,0.39973554766807606,558/2302,0.1,0.5
KL,0.39973554766807606,558/2302,0.1,0.5
Min KL,0.401223045345671,546/2302,0.1,0.5
Min KL NEW,0.3975692706985782,550/2302,0.1,0.5
Min KL NEW,0.40422774384090926,566/2302,0.2,0.5
Min KL,0.39617846359324016,560/2302,0.2,0.5
simple LM,0.39973554766807606,558/2302,0.2,0.5
KL,0.39973554766807606,558/2302,0.2,0.5
simple LM,0.39973554766807606,558/2302,0.30000000000000004,0.5
KL,0.39973554766807606,558/2302,0.30000000000000004,0.5
Min KL,0.40149466816834534,575/2302,0.30000000000000004,0.5
Min KL NEW,0.4066651227519039,581/2302,0.30000000000000004,0.5
simple LM,0.39973554766807606,558/2302,0.4,0.5
KL,0.39973554766807606,558/2302,0.4,0.5
Min KL,0.40818251763001656,581/2302,0.4,0.5
Min KL NEW,0.40872809133511123,586/2302,0.4,0.5
Min KL NEW,0.3978731607364643,600/2302,0.5,0.5
Min KL,0.4041926914811762,592/2302,0.5,0.5
KL,0.39973554766807606,558/2302,0.5,0.5
simple LM,0.39973554766807606,558/2302,0.5,0.5
simple LM,0.39973554766807606,558/2302,0.6000000000000001,0.5
KL,0.39973554766807606,558/2302,0.6000000000000001,0.5
Min KL,0.39853371417830685,584/2302,0.6000000000000001,0.5
Min KL NEW,0.395077987717838,555/2302,0.6000000000000001,0.5
simple LM,0.39973554766807606,558/2302,0.7000000000000001,0.5
KL,0.39973554766807606,558/2302,0.7000000000000001,0.5
Min KL,0.39960148512787164,587/2302,0.7000000000000001,0.5
Min KL NEW,0.4103474206788991,529/2302,0.7000000000000001,0.5
Min KL NEW,0.4018616846506286,510/2302,0.8,0.5
Min KL,0.39106457601792827,534/2302,0.8,0.5
KL,0.39973554766807606,558/2302,0.8,0.5
simple LM,0.39973554766807606,558/2302,0.8,0.5
simple LM,0.39973554766807606,558/2302,0.9,0.5
KL,0.39973554766807606,558/2302,0.9,0.5
Min KL,0.3831629047292525,494/2302,0.9,0.5
Min KL NEW,0.3926585219798697,471/2302,0.9,0.5
simple LM,0.39973554766807606,558/2302,0.98,0.5
KL,0.39973554766807606,558/2302,0.98,0.5
Min KL,0.384069708042985,464/2302,0.98,0.5
Min KL NEW,0.38814777448788007,466/2302,0.98,0.5
